"unigram","bigram","freq"
"as","if",98
"even","more",98
"for","his",98
"have","had",98
"made","me",98
"s","going",98
"we","got",98
"we","should",98
"a","beautiful",97
"an","amazing",97
"and","some",97
"call","me",97
"coming","to",97
"do","this",97
"for","him",97
"i","felt",97
"is","all",97
"next","to",97
"of","being",97
"the","little",97
"the","moment",97
"things","that",97
"watching","the",97
"a","bad",96
"a","better",96
"a","book",96
"get","some",96
"great","to",96
"i","took",96
"know","if",96
"m","sure",96
"my","way",96
"new","year",96
"proud","of",96
"see","how",96
"the","great",96
"the","things",96
"the","very",96
"they","had",96
"to","buy",96
"to","show",96
"welcome","to",96
"which","was",96
"with","him",96
"-","the",95
"do","a",95
"just","like",95
"the","weekend",95
"to","ask",95
"to","him",95
"who","was",95
"a","friend",94
"back","on",94
"but","a",94
"but","if",94
"here","is",94
"it","comes",94
"much","i",94
"said","that",94
"the","internet",94
"the","lord",94
"was","that",94
"what","was",94
"a","really",93
"go","back",93
"i","may",93
"love","that",93
"of","time",93
"the","real",93
"to","an",93
"to","leave",93
"to","move",93
"what","he",93
"who","have",93
"a","real",92
"easy","to",92
"great","day",92
"how","the",92
"is","about",92
"is","good",92
"is","more",92
"it","as",92
"much","for",92
"the","door",92
"are","going",91
"continue","to",91
"follow","back",91
"how","are",91
"is","there",91
"over","and",91
"the","entire",91
"with","them",91
"you","go",91
"i","find",90
"i","read",90
"i","won",90
"in","love",90
"m","just",90
"s","my",90
"than","i",90
"that","has",90
"today","and",90
"use","the",90
"when","she",90
"while","the",90
"you","d",90
"and","their",89
"for","those",89
"get","my",89
"glad","to",89
"is","for",89
"made","the",89
"my","dad",89
"out","a",89
"said","the",89
"she","has",89
"sure","i",89
"the","car",89
"the","main",89
"to","call",89
"we","know",89
"what","happened",89
"would","not",89
"a","free",88
"care","of",88
"comes","to",88
"it","does",88
"mother","s",88
"no","idea",88
"see","a",88
"the","family",88
"they","do",88
"to","us",88
"will","get",88
"you","had",88
"you","love",88
"become","a",87
"down","and",87
"he","would",87
"it","can",87
"join","us",87
"let","the",87
"love","this",87
"love","your",87
"next","year",87
"on","her",87
"only","a",87
"people","in",87
"people","to",87
"say","i",87
"t","make",87
"the","week",87
"was","to",87
"we","would",87
"will","do",87
"and","will",86
"because","he",86
"end","up",86
"get","back",86
"i","go",86
"i","told",86
"in","new",86
"in","one",86
"me","up",86
"on","and",86
"one","is",86
"one","thing",86
"that","can",86
"to","bed",86
"to","bring",86
"we","could",86
"you","on",86
"you","the",86
"are","still",85
"but","then",85
"has","the",85
"his","own",85
"is","really",85
"little","bit",85
"long","as",85
"me","for",85
"not","in",85
"see","that",85
"set","up",85
"something","that",85
"something","to",85
"t","believe",85
"too","many",85
"watch","the",85
"will","never",85
"years","of",85
"am","a",84
"and","had",84
"her","to",84
"how","you",84
"just","the",84
"list","of",84
"love","and",84
"may","not",84
"might","have",84
"no","more",84
"of","god",84
"s","in",84
"since","the",84
"the","movie",84
"to","school",84
"until","i",84
"why","do",84
"you","got",84
"your","favorite",84
"a","different",83
"a","girl",83
"and","let",83
"at","me",83
"because","you",83
"get","your",83
"i","couldn",83
"is","very",83
"it","so",83
"ll","have",83
"long","time",83
"m","in",83
"me","but",83
"the","public",83
"to","not",83
"up","at",83
"ve","had",83
"was","my",83
"was","on",83
"way","of",83
"you","might",83
"a","person",82
"and","as",82
"came","to",82
"glad","you",82
"lack","of",82
"my","family",82
"s","like",82
"same","time",82
"sounds","like",82
"t","you",82
"take","it",82
"why","is",82
"with","their",82
"you","ever",82
"all","about",81
"and","are",81
"be","more",81
"figure","out",81
"friends","and",81
"go","on",81
"here","and",81
"how","it",81
"into","my",81
"it","makes",81
"my","day",81
"not","even",81
"so","happy",81
"starting","to",81
"talking","to",81
"there","will",81
"this","post",81
"to","become",81
"to","pay",81
"we","love",81
"ability","to",80
"all","you",80
"and","one",80
"as","long",80
"bunch","of",80
"do","is",80
"excited","for",80
"get","out",80
"good","for",80
"many","people",80
"of","how",80
"oh","my",80
"someone","who",80
"that","in",80
"that","makes",80
"these","days",80
"”","he",79
"about","you",79
"and","no",79
"be","an",79
"come","out",79
"find","out",79
"for","one",79
"give","you",79
"in","to",79
"see","if",79
"the","music",79
"the","person",79
"the","rt",79
"they","would",79
"a","more",78
"about","what",78
"check","it",78
"for","another",78
"good","thing",78
"haha","i",78
"i","loved",78
"is","only",78
"just","have",78
"p","m",78
"said","it",78
"t","do",78
"the","beginning",78
"the","front",78
"the","phone",78
"the","room",78
"the","u",78
"think","the",78
"this","book",78
"to","just",78
"to","run",78
"to","what",78
"type","of",78
"we","don",78
"willing","to",78
"you","that",78
"a","fun",77
"against","the",77
"be","at",77
"be","so",77
"got","my",77
"group","of",77
"help","me",77
"i","heard",77
"i","must",77
"living","in",77
"of","things",77
"thanks","so",77
"that","way",77
"the","united",77
"time","of",77
"to","check",77
"took","a",77
"up","i",77
"up","my",77
"we","get",77
"about","my",76
"all","this",76
"as","to",76
"but","there",76
"but","when",76
"i","tried",76
"idea","of",76
"it","feels",76
"like","my",76
"needed","to",76
"no","i",76
"not","so",76
"or","two",76
"so","good",76
"that","and",76
"the","film",76
"the","power",76
"the","problem",76
"the","team",76
"there","and",76
"things","i",76
"thought","it",76
"to","love",76
"tonight","at",76
"you","feel",76
"a","large",75
"and","its",75
"but","in",75
"enjoy","the",75
"have","fun",75
"he","did",75
"i","remember",75
"just","saw",75
"just","want",75
"me","with",75
"my","eyes",75
"on","saturday",75
"once","again",75
"other","than",75
"picked","up",75
"please","follow",75
"s","your",75
"sometimes","i",75
"state","of",75
"the","future",75
"the","worst",75
"where","we",75
"a","place",74
"a","special",74
"after","all",74
"all","in",74
"and","has",74
"and","of",74
"but","also",74
"congrats","to",74
"could","not",74
"got","it",74
"home","and",74
"if","your",74
"like","me",74
"m","gonna",74
"middle","of",74
"my","husband",74
"one","that",74
"out","my",74
"plenty","of",74
"so","glad",74
"so","what",74
"sure","you",74
"t","forget",74
"the","case",74
"the","ground",74
"the","name",74
"time","with",74
"united","states",74
"we","just",74
"who","had",74
"woke","up",74
"work","for",74
"you","don’t",74
"a","month",73
"all","these",73
"all","your",73
"and","our",73
"anyone","else",73
"are","very",73
"focus","on",73
"for","example",73
"good","day",73
"guess","i",73
"make","you",73
"not","that",73
"on","me",73
"out","that",73
"put","it",73
"re","a",73
"really","good",73
"said","i",73
"shout","out",73
"some","people",73
"that","means",73
"the","bottom",73
"they","don",73
"wake","up",73
"we","want",73
"work","on",73
"about","that",72
"am","so",72
"and","be",72
"can","only",72
"do","so",72
"if","u",72
"in","any",72
"life","i",72
"one","in",72
"one","more",72
"re","going",72
"she","said",72
"started","to",72
"the","final",72
"the","original",72
"trip","to",72
"work","and",72
"year","old",72
"also","a",71
"find","the",71
"good","and",71
"had","no",71
"have","it",71
"he","will",71
"in","life",71
"is","always",71
"maybe","i",71
"much","better",71
"much","to",71
"my","last",71
"piece","of",71
"the","weather",71
"them","i",71
"very","good",71
"wonder","if",71
"a","picture",70
"and","at",70
"before","you",70
"d","like",70
"does","it",70
"happened","to",70
"i","only",70
"in","there",70
"it","doesn",70
"it","when",70
"my","house",70
"or","something",70
"pair","of",70
"stay","tuned",70
"that","all",70
"the","white",70
"to","add",70
"a","bunch",69
"a","group",69
"and","can",69
"create","a",69
"days","of",69
"deal","with",69
"did","it",69
"in","for",69
"it","be",69
"must","have",69
"not","really",69
"of","which",69
"on","how",69
"other","people",69
"pick","up",69
"the","answer",69
"the","company",69
"the","hell",69
"the","work",69
"thing","that",69
"to","for",69
"to","those",69
"will","you",69
"a","m",68
"a","part",68
"and","do",68
"at","that",68
"but","for",68
"found","out",68
"give","it",68
"he","can",68
"m","still",68
"my","parents",68
"on","in",68
"place","in",68
"quite","a",68
"t","let",68
"the","reason",68
"thing","to",68
"thinking","of",68
"to","feel",68
"use","it",68
"using","the",68
"were","a",68
"a","child",67
"behind","the",67
"day","is",67
"do","what",67
"for","being",67
"get","in",67
"give","a",67
"how","we",67
"i","bought",67
"if","not",67
"it","it",67
"it","off",67
"last","time",67
"matter","how",67
"me","back",67
"my","son",67
"out","i",67
"place","to",67
"pretty","much",67
"s","no",67
"still","have",67
"the","floor",67
"they","want",67
"to","save",67
"to","sit",67
"to","spend",67
"us","and",67
"with","no",67
"with","one",67
"work","in",67
"a","second",66
"an","old",66
"as","she",66
"back","from",66
"ended","up",66
"few","years",66
"have","never",66
"hit","the",66
"it","may",66
"it","might",66
"just","had",66
"know","who",66
"ll","get",66
"look","forward",66
"me","at",66
"me","of",66
"my","best",66
"name","is",66
"oh","i",66
"one","who",66
"opportunity","to",66
"the","following",66
"the","school",66
"this","summer",66
"to","end",66
"to","everyone",66
"was","very",66
"work","with",66
"you","you",66
"and","with",65
"at","first",65
"be","my",65
"felt","like",65
"few","weeks",65
"gave","me",65
"get","me",65
"give","up",65
"if","that",65
"is","actually",65
"known","as",65
"let","you",65
"love","with",65
"matter","what",65
"now","it",65
"on","facebook",65
"one","and",65
"over","to",65
"say","it",65
"some","time",65
"the","news",65
"the","point",65
"this","will",65
"ve","seen",65
"was","really",65
"what","would",65
"why","not",65
"within","the",65
"you","did",65
"you","make",65
"did","a",64
"even","the",64
"for","sure",64
"half","of",64
"him","in",64
"how","about",64
"is","at",64
"is","i",64
"it","takes",64
"it","took",64
"keep","it",64
"managed","to",64
"me","it",64
"more","and",64
"no","doubt",64
"on","top",64
"people","and",64
"seems","like",64
"soon","as",64
"stop","by",64
"the","list",64
"think","they",64
"too","i",64
"version","of",64
"want","a",64
"were","the",64
"a","fan",63
"along","the",63
"and","on",63
"any","other",63
"be","back",63
"been","in",63
"he","could",63
"i","can’t",63
"i","cant",63
"it","really",63
"it","wasn",63
"members","of",63
"more","about",63
"my","hair",63
"of","him",63
"of","new",63
"one","i",63
"should","i",63
"so","they",63
"t","see",63
"that","when",63
"the","water",63
"the","wrong",63
"then","you",63
"to","join",63
"use","a",63
"with","our",63
"year","and",63
"you","at",63
"&","the",62
"a","short",62
"are","on",62
"are","we",62
"came","out",62
"i","actually",62
"i","keep",62
"is","why",62
"look","for",62
"love","my",62
"me","so",62
"my","sister",62
"of","its",62
"on","friday",62
"on","what",62
"right","to",62
"s","good",62
"sorry","i",62
"that","have",62
"the","hospital",62
"this","blog",62
"through","a",62
"throughout","the",62
"use","of",62
"was","one",62
"who","can",62
"you","look",62
"you","really",62
"-","and",61
"and","an",61
"and","said",61
"because","we",61
"been","on",61
"best","of",61
"come","in",61
"day","for",61
"get","up",61
"getting","a",61
"go","out",61
"i","put",61
"i","try",61
"i","wouldn",61
"if","she",61
"in","its",61
"is","getting",61
"is","over",61
"is","too",61
"me","out",61
"more","to",61
"not","as",61
"of","work",61
"or","so",61
"our","new",61
"over","a",61
"s","up",61
"take","care",61
"the","beach",61
"the","fuck",61
"the","greatest",61
"the","ones",61
"the","perfect",61
"the","place",61
"things","in",61
"to","believe",61
"to","finish",61
"to","hold",61
"to","one",61
"to","visit",61
"was","at",61
"was","great",61
"you","never",61
"a","single",60
"after","i",60
"ask","for",60
"did","the",60
"great","time",60
"i","missed",60
"it","could",60
"let","it",60
"love","is",60
"me","if",60
"no","way",60
"on","an",60
"said","he",60
"see","my",60
"t","really",60
"that","time",60
"the","air",60
"the","number",60
"the","question",60
"this","season",60
"to","and",60
"to","pick",60
"to","speak",60
"ve","never",60
"was","also",60
"was","no",60
"ways","to",60
"we","did",60
"week","i",60
"with","and",60
"wrong","with",60
"you","say",60
"a","half",59
"a","quick",59
"and","go",59
"and","most",59
"are","my",59
"at","it",59
"can","have",59
"cause","i",59
"far","as",59
"had","an",59
"her","and",59
"if","there",59
"it","again",59
"it","back",59
"it","had",59
"just","for",59
"know","why",59
"me","when",59
"my","birthday",59
"no","problem",59
"nothing","to",59
"of","one",59
"one","to",59
"put","on",59
"say","the",59
"t","been",59
"t","go",59
"the","biggest",59
"the","local",59
"the","uk",59
"the","years",59
"things","to",59
"to","set",59
"when","my",59
"when","your",59
"working","with",59
"you","there",59
"–","and",58
"a","happy",58
"a","pair",58
"are","also",58
"but","as",58
"but","she",58
"doing","a",58
"excited","about",58
"family","and",58
"fan","of",58
"feel","the",58
"feels","like",58
"her","own",58
"how","did",58
"it","looks",58
"like","an",58
"looked","at",58
"making","a",58
"many","times",58
"my","car",58
"on","you",58
"or","even",58
"person","who",58
"picture","of",58
"someone","to",58
"story","of",58
"t","need",58
"the","center",58
"the","government",58
"the","table",58
"them","all",58
"this","month",58
"you","find",58
"you","must",58
"your","heart",58
"a","car",57
"again","i",57
"and","still",57
"as","soon",57
"but","my",57
"come","up",57
"day","at",57
"find","it",57
"for","free",57
"have","done",57
"i","needed",57
"ice","cream",57
"in","addition",57
"is","coming",57
"it","too",57
"never","been",57
"only","to",57
"s","and",57
"she","would",57
"so","hard",57
"the","food",57
"they","ll",57
"thought","of",57
"to","send",57
"today","at",57
"week","and",57
"when","a",57
"will","make",57
"wish","you",57
"you","been",57
"you","going",57
"a","guy",56
"as","far",56
"but","now",56
"by","and",56
"called","the",56
"do","we",56
"from","this",56
"from","your",56
"glad","i",56
"good","night",56
"have","one",56
"how","can",56
"it","at",56
"kinds","of",56
"my","blog",56
"on","monday",56
"out","at",56
"pretty","sure",56
"put","the",56
"read","the",56
"s","on",56
"tend","to",56
"that","were",56
"the","guy",56
"the","love",56
"the","summer",56
"things","are",56
"this","i",56
"this","point",56
"to","support",56
"to","turn",56
"two","weeks",56
"was","about",56
"was","still",56
"who","i",56
